# FinCEN Section 311 / 9714 special-measure details, hand-mined from the
# rulemaking documents linked in the fincen.gov overview table. One row per
# (measure, entity) fact. Joined by sdn_monitor.fetch_fincen311() on `measure`
# (the measure's slug). relationship: self = a fact about the measure's main
# entity; target/subsidiary/owner/related = a further named party, emitted as
# its own screening row. notes quotes the source document; every row cites
# source_url. mined_date (self rows only) = the date of the document these
# facts were read from; sdn_monitor flags a measure for re-mining when the
# FinCEN table shows a newer rule than this. Edit as a PR checked against
# the cited document; bump mined_date when you re-mine.
measure,relationship,type,name,alias,country,address,notes,source_url,mined_date
fbme-bank-ltd,owner,person,Ayoub-Farid M. Saab,,,,"FinCEN: ""Both FBME and the Federal Bank of Lebanon are owned by Ayoub-Farid M. Saab and Fadi M. Saab.""",https://www.fincen.gov/system/files/shared/FBME_FR_20160325.pdf,
fbme-bank-ltd,owner,person,Fadi M. Saab,,,,"FinCEN: ""Both FBME and the Federal Bank of Lebanon are owned by Ayoub-Farid M. Saab and Fadi M. Saab.""",https://www.fincen.gov/system/files/shared/FBME_FR_20160325.pdf,
halawi-exchange-co,self,,Halawi Exchange Co.,Halawi Exchange; Halawi Exchange Co. LTD.,Lebanon,"Beirut, Lebanon","FinCEN Notice of Finding: ""Halawi Exchange ... is organized under a holding company known as Halawi Holding SAL ... The Halawi companies are based in Beirut, Lebanon."" ""In 2012, Halawi Exchange expanded to cover five branches in Lebanon and a sister company in London under the name ‘Halawi Exchange Co. LTD.’"" It ""advertises that it operates in the Sudan, United Arab Emirates, Saudi Arabia, Qatar, Kuwait, Bahrain, Jordan, the United Kingdom, and Australia.""",https://www.federalregister.gov/documents/2013/04/25/2013-09785,2013-04-25
halawi-exchange-co,related,company,Halawi Holding SAL,,Lebanon,"Beirut, Lebanon","FinCEN: ""Halawi Exchange, along with other related entities, is organized under a holding company known as Halawi Holding SAL, which also owns several other related companies in Lebanon.""",https://www.federalregister.gov/documents/2013/04/25/2013-09785,
halawi-exchange-co,related,company,Halawi Investment Trust SAL,,Lebanon,,"FinCEN: ""Mahmoud Halawi is the sole or majority owner and senior management officer at Halawi Exchange, Halawi Holding SAL, and Halawi Investment Trust SAL.""",https://www.federalregister.gov/documents/2013/04/25/2013-09785,
halawi-exchange-co,owner,person,Mahmoud Halawi,,Lebanon,,"FinCEN: ""Mahmoud Halawi is the sole or majority owner and senior management officer at Halawi Exchange, Halawi Holding SAL, and Halawi Investment Trust SAL. He is also President of the Money Changers Association in Lebanon.""",https://www.federalregister.gov/documents/2013/04/25/2013-09785,
halawi-exchange-co,related,person,Ali Halawi,,Lebanon,,"FinCEN: Halawi Exchange ""lists its partners as Mahmoud Halawi and Ali Halawi who ... maintain ‘daily involvement in management and operations of the company.’""",https://www.federalregister.gov/documents/2013/04/25/2013-09785,
halawi-exchange-co,related,person,Fouad Halawi,,Lebanon,,"FinCEN: ""His son, Fouad Halawi, is a Director at Halawi Holding SAL and has served as a manager at Halawi Exchange.""",https://www.federalregister.gov/documents/2013/04/25/2013-09785,
h-pay-service-plc,self,,H-Pay Service PLC,H-Pay,Cambodia,,"FinCEN NPRM (proposed addition to the Huione Group definition): ""H-Pay Service PLC (H-Pay) is a financial institution operating outside the United States that is not only of primary money laundering concern as a component of Huione Group, but also that the transition within the Huione Group of operations from Huione Pay PLC to H-Pay represents an effort ... to evade public scrutiny."" ""H-Pay was licensed in Cambodia as a ‘payment services institution’"". Website www.h-pay.com.",https://www.federalregister.gov/d/2026-12794,2026-06-25
huione-group,self,,Huione Group,,Cambodia,"Phnom Penh, Cambodia","FinCEN final rule (31 CFR 1010.664): ""Huione Group is a financial services conglomerate based in Phnom Penh, Cambodia."" ""Cambodia based, Hong Kong-registered, sole proprietorship founded in or around 2014, that appears to be owned and controlled by an individual Cambodian national."" The term ""means all subsidiaries, branches, and offices of Huione Group operating as a financial institution in any jurisdiction outside of the United States, including Haowang Guarantee (formerly known as Huione Guarantee), Huione Pay PLC, and Huione Crypto"".",https://www.federalregister.gov/documents/2025/10/16/2025-19571,2025-10-16
huione-group,target,company,Haowang Guarantee,Huione Guarantee,Cambodia,"Phnom Penh, Cambodia","FinCEN: named in 31 CFR 1010.664(a)(1) as within ""Huione Group"" — ""Haowang Guarantee (formerly known as Huione Guarantee)"".",https://www.federalregister.gov/documents/2025/10/16/2025-19571,
huione-group,target,company,Huione Pay PLC,,Cambodia,"Phnom Penh, Cambodia","FinCEN: named in 31 CFR 1010.664(a)(1) as within ""Huione Group"". ""[T]he Cambodian government revoked Huione Pay PLC’s banking license.""",https://www.federalregister.gov/documents/2025/10/16/2025-19571,
huione-group,target,company,Huione Crypto Spolka Z Ograniczona Odpowiedzialnoscia,Huione Crypto,Poland,,"FinCEN: named in 31 CFR 1010.664(a)(1) as within ""Huione Group"" — ""Huione Crypto Spółka Z Ograniczoną Odpowiedzialnością (d/b/a Huione Crypto)"".",https://www.federalregister.gov/documents/2025/10/16/2025-19571,
institucion-de-banca-multiple-intercam,self,,"Intercam Banco S.A., Institucion de Banca Multiple",Intercam,Mexico,"Mexico City, Mexico","FinCEN: ""Intercam is a Mexico-based commercial bank ... headquartered in Mexico City, Mexico, has over 70 branches across Mexico"". Order defines Intercam ""to mean all of its subsidiaries, branches, and offices located in Mexico""; its U.S.-based subsidiaries (Intercam Banco Internacional, Inc.; Intercam Futures, Inc. d/b/a Intercam FX; Intercam Wealth Management Group; Intercam Advisors, Inc.; Intercam Securities, Inc.) are ""expressly excluded"". Part of Intercam Grupo Financiero.",https://www.federalregister.gov/d/2025-11990,2025-06-30
kassem-rmeiti-co-for-exchange,self,,Kassem Rmeiti & Co. For Exchange,Rmeiti Exchange; Rmaiti For Exchange Co.,Lebanon,"Beirut, Lebanon","FinCEN Notice of Finding: ""Kassem Rmeiti & Co. For Exchange (‘Rmeiti Exchange’) is a Lebanon-based money exchanger with branches and affiliates in Switzerland and Benin. Rmeiti Exchange, through its owner, Kassem Rmeiti, also owns companies including ... the Rmaiti Group SAL in Lebanon and Societe Rmaiti SARL (STE Rmeiti) located in Benin ... collectively the ‘Rmeiti Exchange companies.’"" Doc footnote lists many alternate spellings of Kassem / Rmeiti.",https://www.federalregister.gov/documents/2013/04/25/2013-09783,2013-04-25
kassem-rmeiti-co-for-exchange,target,company,Rmaiti Group SAL,,Lebanon,,"FinCEN: within the ""Rmeiti Exchange companies"" the finding treats collectively — ""Rmeiti Exchange ... also owns companies including, but not limited to, the Rmaiti Group SAL in Lebanon"".",https://www.federalregister.gov/documents/2013/04/25/2013-09783,
kassem-rmeiti-co-for-exchange,target,company,Societe Rmaiti SARL,STE Rmeiti,Benin,,"FinCEN: within the ""Rmeiti Exchange companies"" — ""Societe Rmaiti SARL (STE Rmeiti) located in Benin"".",https://www.federalregister.gov/documents/2013/04/25/2013-09783,
kassem-rmeiti-co-for-exchange,owner,person,Kassem Rmeiti,,Lebanon,,"FinCEN: ""Rmeiti Exchange, through its owner, Kassem Rmeiti, also owns companies including ... the Rmaiti Group SAL"". Alternative spellings noted in the doc: Kassem/Kasem/Qasim/Qasem; Rmeiti/Rmaiti/Rmayti and others.",https://www.federalregister.gov/documents/2013/04/25/2013-09783,
mbaer-merchant-bank-ag,self,,MBaer Merchant Bank AG,MBaer,Switzerland,"Zurich, Switzerland","FinCEN NPRM: ""MBaer is a commercial bank with a single office headquartered in Zürich, Switzerland."" ""Founded in December 2018, MBaer ... operates under Swiss banking regulations and is regulated by the Swiss Financial Markets Supervisory Authority (FINMA)"". ""MBaer has no branches other than its headquarters location."" ""MBaer is majority owned by Swiss investors with minority shareholders based in Asia and the Middle East.""",https://www.federalregister.gov/documents/2026/03/02/2026-04033,2026-03-02
pm2btc,self,,PM2BTC,PM2BTC.ME; BTC2PM.ME; PM2CASHIN.ME; BTC2CASHIN.ME; PM2WM.ME; BTC2WM.ME,,,"FinCEN order: ""The order defines PM2BTC, a CVC exchanger comprised of a collection of the services PM2BTC.ME, BTC2PM.ME, PM2CASHIN.ME, BTC2CASHIN.ME, PM2WM.ME, and BTC2WM.ME, to mean all subsidiaries, branches, and offices of PM2BTC operating in any jurisdiction, as well as any successor entity."" Determination made ""in connection with Russian illicit finance.""",https://www.federalregister.gov/d/2024-23430,2024-10-11
vector-casa-de-bolsa-s-a-de-c-v,self,,"Vector Casa de Bolsa, S.A. de C.V.",Vector,Mexico,"San Pedro Garza Garcia, Mexico","FinCEN: ""Vector is a Mexico-based brokerage firm ... headquartered in San Pedro Garza Garcia, Mexico"". Order defines Vector as ""Vector Casa de Bolsa, S.A. de C.V. and its branches, subsidiaries, and offices located in Mexico""; those outside Mexico are ""expressly excluded"".",https://www.federalregister.gov/d/2025-11991,2025-06-30
